STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,crops,Crops,strucpro,Structure of production,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2010,,302.85,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2011,,304.33,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2012,,308.18,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2013,,297.29,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2014,,304.65,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2015,,302.97,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2016,,317.76,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2017,,297.28,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2018,,294.29,,,,,
dataflow,ESTAT:APRO_CPSH1(1.0),Crop production in EU standard humidity,A,Annual,C1100,Wheat and spelt,AR,Area (cultivation/harvested/production) (1000 ha),AT,Austria,2019,,278.34,,,,,
